,ID,Cellline,Label,Labels_list
119,100_A1_2,A-431,14,[14]
120,100_A3_1,A-431,17,[17]
121,100_A3_2,A-431,17,[17]
122,100_B9_1,A-431,4|7,"[4, 7]"
123,100_B9_2,A-431,4|7,"[4, 7]"
124,100_D12_1,A-431,7,[7]
125,100_D12_2,A-431,7,[7]
126,100_D1_1,A-431,10,[10]
127,100_D1_2,A-431,10,[10]
128,100_D6_1,A-431,17|14,"[17, 14]"
129,100_D6_2,A-431,17|14,"[17, 14]"
130,100_E2_1,A-431,6,[6]
131,100_E2_2,A-431,6,[6]
132,100_E7_1,A-431,13,[13]
133,100_E7_2,A-431,13,[13]
134,100_F5_1,A-431,17,[17]
135,100_F5_2,A-431,17,[17]
136,100_G10_1,A-431,17|13,"[17, 13]"
137,100_G10_2,A-431,17|13,"[17, 13]"
138,100_H2_1,A-431,18,[18]
139,100_H2_2,A-431,18,[18]
140,1010_A11_4,U-251 MG,2,[2]
141,1010_A11_5,U-251 MG,2,[2]
142,1010_A7_2,U-251 MG,17,[17]
143,1010_A7_3,U-251 MG,17,[17]
144,1010_C4_1,U-251 MG,17,[17]
145,1010_C4_2,U-251 MG,17,[17]
146,1010_D4_3,U-251 MG,2,[2]
147,1010_D4_4,U-251 MG,2,[2]
148,1010_E1_1,U-251 MG,4,[4]
149,1010_E1_2,U-251 MG,4,[4]
150,1010_E2_1,U-251 MG,9,[9]
151,1010_E5_1,U-251 MG,18,[18]
152,1010_E5_2,U-251 MG,18,[18]
153,1010_E6_2,U-251 MG,14,[14]
154,1010_E6_3,U-251 MG,14,[14]
155,1010_E7_1,U-251 MG,18,[18]
156,1010_E7_2,U-251 MG,18,[18]
157,1010_F7_2,U-251 MG,18,[18]
158,1010_F7_3,U-251 MG,18,[18]
159,1010_G6_3,U-251 MG,17,[17]
160,1010_G6_4,U-251 MG,17,[17]
161,1010_H2_2,U-251 MG,18,[18]
162,1010_H2_3,U-251 MG,18,[18]
163,1011_B10_1,A-431,14,[14]
164,1011_B10_5,A-431,14,[14]
165,1011_B6_2,A-431,7,[7]
166,1011_B6_7,A-431,7,[7]
167,1011_C10_3,A-431,17,[17]
168,1011_C10_8,A-431,17,[17]
169,1011_C11_6,A-431,17,[17]
170,1011_C11_8,A-431,17,[17]
171,1011_D6_1,A-431,18,[18]
172,1011_D6_2,A-431,18,[18]
173,1011_D9_2,A-431,18,[18]
174,1011_D9_4,A-431,18,[18]
175,1011_E9_4,A-431,4|13,"[4, 13]"
176,1011_G7_1,A-431,18,[18]
177,1011_G7_3,A-431,18,[18]
178,1013_A11_3,U-2 OS,17|4,"[17, 4]"
179,1013_A11_4,U-2 OS,17|4,"[17, 4]"
180,1013_B1_7,U-2 OS,4|7,"[4, 7]"
181,1013_B1_9,U-2 OS,4|7,"[4, 7]"
182,1013_B3_5,U-2 OS,18,[18]
183,1013_B3_6,U-2 OS,18,[18]
184,1013_C1_4,U-2 OS,17,[17]
185,1013_C1_5,U-2 OS,17,[17]
186,1013_D3_1,U-2 OS,4,[4]
187,1013_D3_2,U-2 OS,4,[4]
188,1013_H10_1,U-2 OS,13,[13]
189,1013_H10_2,U-2 OS,13,[13]
190,1013_H1_1,U-2 OS,18,[18]
191,1013_H1_2,U-2 OS,18,[18]
192,1014_A11_1,U-2 OS,2,[2]
193,1014_A11_2,U-2 OS,2,[2]
194,1014_A7_1,U-2 OS,17,[17]
195,1014_A7_2,U-2 OS,17,[17]
196,1014_B9_1,U-2 OS,14,[14]
197,1014_B9_2,U-2 OS,14,[14]
198,1014_C4_1,U-2 OS,17,[17]
199,1014_C4_2,U-2 OS,17,[17]
200,1014_D4_1,U-2 OS,2,[2]
201,1014_D4_2,U-2 OS,2,[2]
202,1014_E1_1,U-2 OS,4,[4]
203,1014_E1_2,U-2 OS,4,[4]
204,1014_E2_2,U-2 OS,9,[9]
205,1014_E5_1,U-2 OS,18,[18]
206,1014_E5_2,U-2 OS,18,[18]
207,1014_E6_1,U-2 OS,14,[14]
208,1014_E6_2,U-2 OS,14,[14]
209,1014_E7_1,U-2 OS,6,[6]
210,1014_E7_7,U-2 OS,6,[6]
211,1014_F7_1,U-2 OS,18,[18]
212,1014_F7_2,U-2 OS,18,[18]
213,1014_G6_1,U-2 OS,17,[17]
214,1014_G6_2,U-2 OS,17,[17]
215,1014_H2_1,U-2 OS,18,[18]
216,1014_H2_2,U-2 OS,18,[18]
217,1015_B11_2,U-2 OS,2,[2]
218,1015_B11_3,U-2 OS,2,[2]
219,1015_B4_1,U-2 OS,14,[14]
220,1015_B4_2,U-2 OS,14,[14]
221,1015_B5_1,U-2 OS,17,[17]
222,1015_B5_3,U-2 OS,17,[17]
223,1015_C1_1,U-2 OS,14,[14]
224,1015_C1_2,U-2 OS,14,[14]
225,1015_C7_6,U-2 OS,8,[8]
226,1015_C7_7,U-2 OS,8,[8]
227,1015_C9_3,U-2 OS,9,[9]
228,1015_C9_6,U-2 OS,9,[9]
229,1015_D11_10,U-2 OS,14,[14]
230,1015_D11_9,U-2 OS,14,[14]
231,1015_D12_1,U-2 OS,18,[18]
232,1015_D12_2,U-2 OS,18,[18]
233,1015_D1_2,U-2 OS,18,[18]
234,1015_D1_3,U-2 OS,18,[18]
235,1015_E1_1,U-2 OS,18,[18]
236,1015_E1_3,U-2 OS,18,[18]
237,1015_E5_3,U-2 OS,14,[14]
238,1015_E5_5,U-2 OS,14,[14]
239,1015_F10_1,U-2 OS,18,[18]
240,1015_F10_2,U-2 OS,18,[18]
241,1015_G2_1,U-2 OS,18,[18]
242,1015_G2_2,U-2 OS,18,[18]
243,1015_G6_2,U-2 OS,5,[5]
244,1015_G6_4,U-2 OS,5,[5]
245,1015_G9_1,U-2 OS,18,[18]
246,1015_G9_2,U-2 OS,18,[18]
247,1016_A10_1,U-2 OS,17,[17]
248,1016_A10_2,U-2 OS,17,[17]
249,1016_A5_1,U-2 OS,7,[7]
250,1016_A6_2,U-2 OS,18,[18]
251,1016_A6_4,U-2 OS,18,[18]
252,1016_B9_1,U-2 OS,9,[9]
253,1016_B9_3,U-2 OS,9,[9]
254,1016_C3_1,U-2 OS,13,[13]
255,1016_C3_2,U-2 OS,13,[13]
256,1016_E11_1,U-2 OS,17,[17]
257,1016_E11_2,U-2 OS,17,[17]
258,1016_E3_1,U-2 OS,17,[17]
259,1016_E3_2,U-2 OS,17,[17]
260,1016_E4_3,U-2 OS,17,[17]
261,1016_E4_5,U-2 OS,17,[17]
262,1016_F2_2,U-2 OS,18,[18]
263,1016_F2_4,U-2 OS,18,[18]
264,1016_G12_1,U-2 OS,17,[17]
265,1016_G12_2,U-2 OS,17,[17]
266,1017_A11_3,U-251 MG,17|4,"[17, 4]"
267,1017_A11_6,U-251 MG,17|4,"[17, 4]"
268,1017_B1_1,U-251 MG,4|7,"[4, 7]"
269,1017_B1_2,U-251 MG,4|7,"[4, 7]"
270,1017_D3_1,U-251 MG,4,[4]
271,1017_D3_2,U-251 MG,4,[4]
272,1017_F5_1,U-251 MG,18,[18]
273,1017_F5_2,U-251 MG,18,[18]
274,1017_G5_1,U-251 MG,12,[12]
275,1017_G5_2,U-251 MG,12,[12]
276,1017_H10_1,U-251 MG,13|7,"[13, 7]"
277,1017_H10_2,U-251 MG,13|7,"[13, 7]"
278,1017_H1_2,U-251 MG,18,[18]
279,1017_H1_3,U-251 MG,18,[18]
280,1018_A6_1,U-2 OS,18,[18]
281,1018_A6_3,U-2 OS,18,[18]
282,1018_B11_1,U-2 OS,17,[17]
283,1018_B11_3,U-2 OS,17,[17]
284,1018_B1_4,U-2 OS,3|14,"[3, 14]"
285,1018_B1_6,U-2 OS,3|14,"[3, 14]"
286,1018_B2_4,U-2 OS,3|13,"[3, 13]"
287,1018_B2_5,U-2 OS,3|13,"[3, 13]"
288,1018_C12_1,U-2 OS,14,[14]
289,1018_C12_2,U-2 OS,14,[14]
290,1018_C3_1,U-2 OS,10,[10]
291,1018_C3_2,U-2 OS,10,[10]
292,1018_C5_1,U-2 OS,18,[18]
293,1018_C5_2,U-2 OS,18,[18]
294,1018_E12_1,U-2 OS,4,[4]
295,1018_E12_2,U-2 OS,4,[4]
296,1018_F7_1,U-2 OS,18,[18]
297,1018_F7_2,U-2 OS,18,[18]
298,1018_G7_1,U-2 OS,13,[13]
299,1018_G7_2,U-2 OS,13,[13]
300,1018_H9_1,U-2 OS,18,[18]
301,1018_H9_2,U-2 OS,18,[18]
302,1019_A10_1,U-2 OS,2|14,"[2, 14]"
303,1019_A10_2,U-2 OS,2|14,"[2, 14]"
304,1019_B4_1,U-2 OS,13,[13]
305,1019_B4_2,U-2 OS,13,[13]
306,1019_B8_1,U-2 OS,9,[9]
307,1019_B8_2,U-2 OS,9,[9]
308,1019_C2_1,U-2 OS,13,[13]
309,1019_C2_2,U-2 OS,13,[13]
310,1019_C6_2,U-2 OS,13,[13]
311,1019_C6_3,U-2 OS,13,[13]
312,1019_D9_5,U-2 OS,4,[4]
313,1019_D9_6,U-2 OS,4,[4]
314,1019_E1_1,U-2 OS,18,[18]
315,1019_E1_2,U-2 OS,18,[18]
316,1019_E2_3,U-2 OS,17,[17]
317,1019_E2_4,U-2 OS,17,[17]
318,1019_H10_1,U-2 OS,13,[13]
319,1019_H10_2,U-2 OS,13,[13]
320,101_A1_1,U-2 OS,14,[14]
321,101_A1_2,U-2 OS,14,[14]
322,101_A3_1,U-2 OS,17,[17]
323,101_A3_2,U-2 OS,17,[17]
324,101_B9_1,U-2 OS,4,[4]
325,101_B9_2,U-2 OS,4,[4]
326,101_C5_1,U-2 OS,18,[18]
327,101_C5_2,U-2 OS,18,[18]
328,101_D12_1,U-2 OS,7,[7]
329,101_D12_2,U-2 OS,7,[7]
330,101_D1_1,U-2 OS,10,[10]
331,101_D1_2,U-2 OS,10,[10]
332,101_D6_1,U-2 OS,17|14,"[17, 14]"
333,101_D6_2,U-2 OS,17|14,"[17, 14]"
334,101_E11_1,U-2 OS,14,[14]
335,101_E11_2,U-2 OS,14,[14]
336,101_E2_1,U-2 OS,6,[6]
337,101_E2_2,U-2 OS,6,[6]
338,101_E3_1,U-2 OS,17|2,"[17, 2]"
339,101_E3_2,U-2 OS,17|2,"[17, 2]"
340,101_E6_1,U-2 OS,18,[18]
341,101_E6_2,U-2 OS,18,[18]
342,101_E7_1,U-2 OS,13,[13]
343,101_E7_2,U-2 OS,13,[13]
344,101_F5_1,U-2 OS,17,[17]
345,101_F5_2,U-2 OS,17,[17]
346,101_G10_1,U-2 OS,17|13,"[17, 13]"
347,101_G10_2,U-2 OS,17|13,"[17, 13]"
348,101_G5_1,U-2 OS,18,[18]
349,101_G5_2,U-2 OS,18,[18]
350,101_H2_1,U-2 OS,14,[14]
351,101_H2_2,U-2 OS,14,[14]
352,101_H9_1,U-2 OS,18,[18]
353,101_H9_2,U-2 OS,18,[18]
354,1020_B12_1,PC-3,2|14,"[2, 14]"
355,1020_B12_3,PC-3,2|14,"[2, 14]"
356,1020_B1_10,PC-3,5|14,"[5, 14]"
357,1020_B1_7,PC-3,5|14,"[5, 14]"
358,1020_B9_2,PC-3,14,[14]
359,1020_B9_4,PC-3,14,[14]
360,1020_C5_1,PC-3,14,[14]
361,1020_C5_3,PC-3,14,[14]
362,1020_D12_4,PC-3,5,[5]
363,1020_E9_4,PC-3,4,[4]
364,1020_F2_1,PC-3,18,[18]
365,1020_F2_2,PC-3,18,[18]
366,1020_G6_1,PC-3,17,[17]
367,1020_G6_4,PC-3,17,[17]
368,1020_H11_3,PC-3,7,[7]
369,1020_H11_9,PC-3,7,[7]
370,1020_H4_2,PC-3,4,[4]
371,1021_A10_5,PC-3,14,[14]
372,1021_B4_1,PC-3,13,[13]
373,1021_B4_2,PC-3,13,[13]
374,1021_B8_1,PC-3,18,[18]
375,1021_B8_2,PC-3,18,[18]
376,1021_C6_1,PC-3,13,[13]
377,1021_D6_1,PC-3,17,[17]
378,1021_D6_3,PC-3,17,[17]
379,1021_E2_1,PC-3,17,[17]
380,1021_E2_3,PC-3,17,[17]
381,1021_G4_2,PC-3,13,[13]
382,1021_G4_3,PC-3,13,[13]
383,1021_H10_1,PC-3,13,[13]
384,1026_A7_1,CACO-2,6,[6]
385,1026_A7_3,CACO-2,6,[6]
386,1026_B1_1,CACO-2,18,[18]
387,1026_B1_2,CACO-2,18,[18]
388,1026_C10_1,CACO-2,17|3|13,"[17, 3, 13]"
389,1026_C10_2,CACO-2,17|3|13,"[17, 3, 13]"
390,1026_C1_2,CACO-2,14,[14]
391,1026_C1_3,CACO-2,14,[14]
392,1026_D11_1,CACO-2,18,[18]
393,1026_D11_2,CACO-2,18,[18]
394,1026_D5_3,CACO-2,13,[13]
395,1026_D5_7,CACO-2,13,[13]
396,1026_D7_2,CACO-2,14,[14]
397,1026_D7_3,CACO-2,14,[14]
398,1026_E7_1,CACO-2,10|13,"[10, 13]"
399,1026_E7_3,CACO-2,10|13,"[10, 13]"
400,1026_F10_3,CACO-2,17,[17]
401,1026_F10_5,CACO-2,17,[17]
402,1026_F3_5,CACO-2,17,[17]
403,1026_F3_6,CACO-2,17,[17]
404,1026_F4_2,CACO-2,10,[10]
405,1026_F4_6,CACO-2,10,[10]
406,1026_H2_1,CACO-2,2|4,"[2, 4]"
407,1026_H2_2,CACO-2,2|4,"[2, 4]"
408,1026_H6_2,CACO-2,9,[9]
409,1026_H6_8,CACO-2,9,[9]
410,1027_A10_1,CACO-2,18,[18]
411,1027_A10_2,CACO-2,18,[18]
412,1027_A3_3,CACO-2,14,[14]
413,1027_A3_6,CACO-2,14,[14]
414,1027_B1_1,CACO-2,9|13,"[9, 13]"
415,1027_B1_4,CACO-2,9|13,"[9, 13]"
416,1027_B6_3,CACO-2,4,[4]
417,1027_B6_4,CACO-2,4,[4]
418,1027_C4_1,CACO-2,7,[7]
419,1027_C4_3,CACO-2,7,[7]
420,1027_D9_2,CACO-2,17,[17]
421,1027_D9_4,CACO-2,17,[17]
422,1027_E7_4,CACO-2,17,[17]
423,1027_E7_5,CACO-2,17,[17]
424,1027_F11_2,CACO-2,17,[17]
425,1027_F11_3,CACO-2,17,[17]
426,1027_F12_6,CACO-2,10,[10]
427,1027_F12_7,CACO-2,10,[10]
428,1027_F1_1,CACO-2,13,[13]
429,1027_F1_3,CACO-2,13,[13]
430,1027_F9_3,CACO-2,3,[3]
431,1027_F9_4,CACO-2,3,[3]
432,1027_H5_1,CACO-2,17,[17]
433,1027_H5_6,CACO-2,17,[17]
434,1027_H6_6,CACO-2,17,[17]
435,1027_H6_7,CACO-2,17,[17]
436,1027_H8_2,CACO-2,2|6,"[2, 6]"
437,1027_H8_3,CACO-2,2|6,"[2, 6]"
438,1028_A1_1,CACO-2,5,[5]
439,1028_A1_2,CACO-2,5,[5]
440,1028_B3_1,CACO-2,18,[18]
441,1028_B3_2,CACO-2,18,[18]
442,1028_C12_1,CACO-2,3,[3]
443,1028_C12_2,CACO-2,3,[3]
444,1028_C9_1,CACO-2,4,[4]
445,1028_C9_2,CACO-2,4,[4]
446,1028_D11_1,CACO-2,9,[9]
447,1028_D11_2,CACO-2,9,[9]
448,1028_E5_1,CACO-2,18,[18]
449,1028_E5_2,CACO-2,18,[18]
450,1028_F11_1,CACO-2,14,[14]
451,1028_F11_2,CACO-2,14,[14]
452,1028_G12_4,CACO-2,17,[17]
453,1028_G12_5,CACO-2,17,[17]
454,1028_H10_1,CACO-2,13,[13]
455,1028_H10_3,CACO-2,13,[13]
456,1028_H4_1,CACO-2,17,[17]
457,1028_H4_2,CACO-2,17,[17]
458,1028_H5_1,CACO-2,1|2,"[1, 2]"
459,1028_H5_3,CACO-2,1|2,"[1, 2]"
460,1029_B6_5,A-431,17,[17]
461,1029_B6_6,A-431,17,[17]
462,1029_D6_4,A-431,17,[17]
463,1029_D6_5,A-431,17,[17]
464,1029_E12_12,A-431,14,[14]
465,1029_E12_6,A-431,14,[14]
466,1029_E4_2,A-431,7,[7]
467,1029_E4_3,A-431,7,[7]
468,1029_F4_2,A-431,14,[14]
469,1029_F4_8,A-431,14,[14]
470,1029_F6_1,A-431,14,[14]
471,1029_F6_4,A-431,14,[14]
472,102_A11_1,U-251 MG,14,[14]
473,102_A11_2,U-251 MG,14,[14]
474,102_B2_1,U-251 MG,7,[7]
475,102_B2_2,U-251 MG,7,[7]
476,102_B7_1,U-251 MG,18,[18]
477,102_B7_2,U-251 MG,18,[18]
478,102_C3_1,U-251 MG,6,[6]
479,102_C3_2,U-251 MG,6,[6]
480,102_C8_1,U-251 MG,6,[6]
481,102_C8_2,U-251 MG,6,[6]
482,102_D4_1,U-251 MG,18,[18]
483,102_D4_2,U-251 MG,18,[18]
484,102_D7_1,U-251 MG,10|13,"[10, 13]"
485,102_D7_2,U-251 MG,10|13,"[10, 13]"
486,102_D9_1,U-251 MG,13,[13]
487,102_D9_2,U-251 MG,13,[13]
488,102_E1_1,U-251 MG,18,[18]
489,102_E1_2,U-251 MG,18,[18]
490,102_E4_1,U-251 MG,10,[10]
491,102_E4_2,U-251 MG,10,[10]
492,102_F1_1,U-251 MG,18,[18]
493,102_F1_2,U-251 MG,18,[18]
494,102_F2_1,U-251 MG,17,[17]
495,102_F2_2,U-251 MG,17,[17]
496,102_F7_1,U-251 MG,13,[13]
497,102_F7_2,U-251 MG,13,[13]
498,102_G10_1,U-251 MG,2,[2]
499,102_G10_2,U-251 MG,2,[2]
500,102_G6_1,U-251 MG,6,[6]
501,102_G6_2,U-251 MG,6,[6]
502,102_H6_1,U-251 MG,14,[14]
503,102_H6_2,U-251 MG,14,[14]
504,1030_A11_3,CACO-2,13,[13]
505,1030_A11_6,CACO-2,13,[13]
506,1030_A4_3,CACO-2,13,[13]
507,1030_A4_4,CACO-2,13,[13]
508,1030_A8_1,CACO-2,17|13,"[17, 13]"
509,1030_A8_3,CACO-2,17|13,"[17, 13]"
510,1030_B11_3,CACO-2,17,[17]
511,1030_B11_5,CACO-2,17,[17]
512,1030_B12_2,CACO-2,7,[7]
513,1030_B12_3,CACO-2,7,[7]
514,1030_B1_1,CACO-2,18,[18]
515,1030_B1_2,CACO-2,18,[18]
516,1030_B2_1,CACO-2,18,[18]
517,1030_B2_2,CACO-2,18,[18]
518,1030_B6_1,CACO-2,18,[18]
519,1030_B6_2,CACO-2,18,[18]
520,1030_C10_2,CACO-2,6,[6]
521,1030_C10_3,CACO-2,6,[6]
522,1030_C1_1,CACO-2,7,[7]
523,1030_C1_2,CACO-2,7,[7]
524,1030_C3_2,CACO-2,17,[17]
525,1030_C3_3,CACO-2,17,[17]
526,1030_C5_2,CACO-2,18,[18]
527,1030_C5_3,CACO-2,18,[18]
528,1030_C6_1,CACO-2,18,[18]
529,1030_C6_2,CACO-2,18,[18]
530,1030_C8_1,CACO-2,17,[17]
531,1030_C8_3,CACO-2,17,[17]
532,1030_D10_5,CACO-2,18,[18]
533,1030_D10_7,CACO-2,18,[18]
534,1030_D3_6,CACO-2,7,[7]
535,1030_D3_8,CACO-2,7,[7]
536,1030_D5_1,CACO-2,18,[18]
537,1030_D5_2,CACO-2,18,[18]
538,1030_D6_1,CACO-2,18,[18]
539,1030_D6_2,CACO-2,18,[18]
540,1030_E10_1,CACO-2,14,[14]
541,1030_E10_3,CACO-2,14,[14]
542,1030_F2_1,CACO-2,18,[18]
543,1030_F2_2,CACO-2,18,[18]
544,1030_G5_1,CACO-2,18,[18]
545,1030_G5_2,CACO-2,18,[18]
546,1030_H4_1,CACO-2,17|2,"[17, 2]"
547,1030_H4_3,CACO-2,17|2,"[17, 2]"
548,1032_A3_1,CACO-2,17,[17]
549,1032_A3_2,CACO-2,17,[17]
550,1032_D1_1,CACO-2,13,[13]
551,1032_D1_2,CACO-2,13,[13]
552,1032_D6_1,CACO-2,17,[17]
553,1032_D6_2,CACO-2,17,[17]
554,1032_E1_1,CACO-2,14,[14]
555,1032_E1_2,CACO-2,14,[14]
556,1032_E5_1,CACO-2,9,[9]
557,1032_E5_2,CACO-2,9,[9]
558,1032_F12_1,CACO-2,13,[13]
559,1032_F12_2,CACO-2,13,[13]
560,1032_F1_1,CACO-2,14,[14]
561,1032_F1_2,CACO-2,14,[14]
562,1032_F9_1,CACO-2,14,[14]
563,1032_F9_2,CACO-2,14,[14]
564,1032_G10_1,CACO-2,13,[13]
565,1032_G10_2,CACO-2,13,[13]
566,1032_G9_1,CACO-2,13,[13]
567,1032_G9_2,CACO-2,13,[13]
568,1032_H11_2,CACO-2,18,[18]
569,1032_H11_4,CACO-2,18,[18]
570,1032_H2_1,CACO-2,18,[18]
571,1032_H2_2,CACO-2,18,[18]
572,1033_A11_1,PC-3,18,[18]
573,1033_A11_2,PC-3,18,[18]
574,1033_A7_3,PC-3,14,[14]
575,1033_B3_1,PC-3,18,[18]
576,1033_B3_3,PC-3,18,[18]
577,1033_C2_1,PC-3,17,[17]
578,1033_C2_2,PC-3,17,[17]
579,1033_D7_1,PC-3,18,[18]
580,1033_D7_3,PC-3,18,[18]
581,1033_F7_1,PC-3,18,[18]
582,1033_F7_3,PC-3,18,[18]
583,1033_G6_1,PC-3,18,[18]
584,1033_G6_2,PC-3,18,[18]
585,1033_G8_1,PC-3,18,[18]
586,1033_G8_2,PC-3,18,[18]
587,1033_G9_1,PC-3,18,[18]
588,1033_G9_2,PC-3,18,[18]
589,1033_H2_1,PC-3,18,[18]
590,1033_H2_4,PC-3,18,[18]
591,1033_H6_1,PC-3,18,[18]
592,1033_H6_3,PC-3,18,[18]
593,1034_A5_1,PC-3,17,[17]
594,1034_A5_6,PC-3,17,[17]
595,1034_C3_1,PC-3,17,[17]
596,1034_C3_2,PC-3,17,[17]
597,1034_D5_2,PC-3,4,[4]
598,1034_D5_3,PC-3,4,[4]
599,1034_E3_1,PC-3,17,[17]
600,1034_E3_3,PC-3,17,[17]
601,1034_E4_1,PC-3,13,[13]
602,1034_E4_3,PC-3,13,[13]
603,1034_E7_1,PC-3,18,[18]
604,1034_E7_3,PC-3,18,[18]
605,1035_B2_1,HEK 293,17,[17]
606,1035_B2_2,HEK 293,17,[17]
607,1035_B6_1,HEK 293,17,[17]
608,1035_B6_2,HEK 293,17,[17]
609,1035_D12_2,HEK 293,2,[2]
610,1035_D6_1,HEK 293,18,[18]
611,1035_D6_2,HEK 293,18,[18]
612,1035_D7_1,HEK 293,18,[18]
